config,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
"eps=0.3, min_samples=3",117,230,0.7863916336939532,0.28363765870024776,1308.3082054022727
"eps=0.3, min_samples=5",72,380,0.7713161212781474,0.3124262319711104,1473.7389104107806
"eps=0.3, min_samples=10",16,757,0.8219746176541713,0.264084158174022,2704.357106680357
"eps=0.3, min_samples=15",5,886,0.8901244681361556,0.20406907915721165,5305.390371842144
"eps=0.5, min_samples=3",94,157,0.6279805606866509,0.4818328260570486,328.7018371926261
"eps=0.5, min_samples=5",63,262,0.6159165101414559,0.5169837965552136,388.2476068034055
"eps=0.5, min_samples=10",26,533,0.6418595229555895,0.5071092087332169,671.2924963955275
"eps=0.5, min_samples=15",11,720,0.6291073308782013,0.6017506924886915,677.467777452966
"eps=0.7, min_samples=3",65,83,0.3812333950864497,0.6162657862749505,102.94648656710014
"eps=0.7, min_samples=5",46,152,0.3803866542647398,0.6410613341577255,124.72120625642658
"eps=0.7, min_samples=10",20,332,0.42040408554177505,0.6885072493590445,227.70196106960563
"eps=0.7, min_samples=15",12,463,0.3938000829241296,0.7983923432266632,210.75322437426547
"eps=1.0, min_samples=3",18,25,0.031535690445156285,0.7736464778739962,49.69726053610308
"eps=1.0, min_samples=5",14,38,0.031511476257859355,0.804156608127896,62.03561600081191
"eps=1.0, min_samples=10",9,105,0.0875608361105735,0.9008876139326875,94.54243231637687
"eps=1.0, min_samples=15",6,188,0.23206855851696087,0.9196768255584189,105.53896043909135
"eps=1.5, min_samples=3",1,2,,,
"eps=1.5, min_samples=5",1,2,,,
"eps=1.5, min_samples=10",1,4,,,
"eps=1.5, min_samples=15",1,4,,,
